month,customer_id,first_name,last_name,Total Transfer In,Total Transfer out,Account Monthly Balance
1,463741281156103,Mark,Sawyer,3095.85,224.12,2871.73
1,1320946992314442,Margareta,Haupt,8516.01,5204.96,3311.05
1,1671564189319424,Catherine,Laman,3618.7,3587.88,30.81999999999971
1,2358908589613037,Linda,Eargle,11198.109999999999,5440.35,5757.759999999998
1,4055589654669036,Jackie,Kahele,6636.4400000000005,4342.56,2293.88
1,4290858077207521,Ruth,Williams,7298.860000000001,7977.85,-678.9899999999998
1,5035946757837746,Christopher,Northcraft,5161.23,9122.45,-3961.220000000001
1,5060087521895024,Helene,Johnson,8482.18,4999.12,3483.0600000000004
1,6011915183897057,Aida,Arteaga,1392.56,11694.74,-10302.18
1,6019754764215586,Andrew,Morton,2628.92,5786.139999999999,-3157.2199999999993
1,6579271224268663,Ramona,Angel,7019.68,11630.380000000001,-4610.700000000001
1,7237198767903804,Eleanor,Connor,13107.579999999998,6369.92,6737.659999999998
1,12215490051484782,Bruce,Smith,7613.0599999999995,9242.51,-1629.4500000000007
1,12655632720600574,Joan,Bourland,3450.02,3440.6800000000003,9.33999999999969
1,14010407446184842,Bernard,Wheeler,9660.82,5316.849999999999,4343.97
1,16789049341098608,Gilberto,Thompson,9748.5,13058.93,-3310.4300000000003
1,18141590050396588,Donald,Cardenas,2670.6099999999997,356.85,2313.7599999999998
1,19087747420229048,Suzanna,Aranda,792.96,0,792.96
1,20106730245079200,Jesse,Renken,5324.22,5072.44,251.78000000000065
1,22408013296146324,John,Donovan,1607.03,5554.93,-3947.9000000000005
1,23098869526608644,Gia,Cutler,10975.570000000002,8892.09,2083.4800000000014
1,24687619544593112,Joy,Hampton,376.19,0,376.19
1,26728328693191428,Heidi,Jones,3109.38,5795.95,-2686.5699999999997
1,27130487852076132,Dorothy,Buck,11405.47,5792.85,5612.619999999999
1,27817707387088716,Charlene,Adams,5656.91,846.92,4809.99
1,28746745476374032,Thomas,Foglesong,13988.86,11213.649999999998,2775.2100000000028
1,28864411365047496,Christina,Cherian,468.2,1736.41,-1268.21
1,29521087322579696,Geraldine,Steeley,7529.149999999999,2431.77,5097.379999999999
1,29957004636945592,Michael,Grant,11662.779999999999,11409.62,253.15999999999804
1,30648864328342372,Raul,Spence,612.84,35.91,576.9300000000001
1,31281469069977480,Ray,Bright,4100.46,582.76,3517.7
1,31731637915571000,Anna,Bounds,4902.639999999999,5202.620000000001,-299.9800000000014
1,33431170115607764,James,Buckhalter,3876.3199999999997,3469.42,406.89999999999964
1,34310944398824972,Sue,Yoshino,2112.38,3259.62,-1147.2399999999998
1,35986767795823320,William,Gonnella,3255.6499999999996,6021.6,-2765.9500000000007
1,38139029619411592,Carl,Ross,7404.259999999999,11120.689999999999,-3716.4299999999994
1,40447665662869872,Michelle,Reinkemeyer,4507.91,4646.83,-138.92000000000007
1,40911592689103584,Ngoc,Cox,1463.67,4121.93,-2658.26
1,41515768142863216,Kevin,Oakes,10982.929999999998,2328.41,8654.519999999999
1,41682734878983216,Rene,Martin,5413.199999999999,9474.140000000001,-4060.9400000000023
1,42495782960773152,Robert,Johnson,9939.97,5410.6,4529.369999999999
1,44021874136330960,Tim,Broussard,7495.85,5439.0199999999995,2056.830000000001
1,44961526925570192,Jack,Lopez,7374.35,4725.93,2648.42
1,44966910774687072,Christopher,Weis,5841.03,4556.1900000000005,1284.8399999999992
